activity_id,assay_description,molecule_chembl_id,standard_units,standard_value,target_chembl_id,units,value,pIC50,smiles,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,QED,Lipinski_violations,Lead_like,Drug_like,bioactivity_class
204991,Inhibitory concentration against Monoamine oxidase B was measured in baboon liver.,CHEMBL348961,nM,0.014,CHEMBL2039,nM,0.014,10.853871964321762,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O,322.286,3.7177200000000026,0,4,52.080000000000005,4,2,0.6870766408985459,0,False,True,Active
5165981,Inhibition of human monoamine oxidase B,CHEMBL972,nM,0.017,CHEMBL2039,nM,0.017,10.769551078621726,C#CCN(C)[C@H](C)Cc1ccccc1,187.286,2.1826,0,1,3.24,4,1,0.6530251998867979,0,False,True,Active
25576087,Inhibition of human MAO-B using p-tyramine as substrate incubated for 15 mins by Amplex red and horseradish peroxidase based fluorescence assay,CHEMBL396778,nM,0.023,CHEMBL2039,nM,0.023,10.638272163982407,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,302.34900000000005,2.3681,2,3,64.35,7,2,0.8250455320199923,0,True,True,Active
5128648,Inhibition of human recombinant MAOB expressed in baculovirus-infected BTI insect cells after 15 mins by fluorimetric assay,CHEMBL315361,nM,0.048,CHEMBL2039,nM,0.048,10.318758762624412,O=C(O)c1coc2ccccc2c1=O,190.15399999999997,1.4911999999999999,1,3,67.50999999999999,1,2,0.7392030946871293,0,False,True,Active
25576086,Inhibition of human MAO-B using p-tyramine as substrate incubated for 15 mins by Amplex red and horseradish peroxidase based fluorescence assay,CHEMBL887,nM,0.05,CHEMBL2039,nM,0.05,10.301029995663981,C#CCN[C@@H]1CCc2ccccc21,171.243,1.8967,1,1,12.03,2,1,0.6700261204475028,0,False,True,Active
18305643,Inhibition of human MAO-B using p-tyramine as substrate after 15 mins by amplex red reagent based assay,CHEMBL4129303,nM,0.134,CHEMBL2039,nM,0.134,9.872895201635192,Cc1ccc2oc(=O)c(-c3cccc(Br)c3)cc2c1,315.16600000000005,4.530920000000003,0,2,30.21,1,3,0.6175981415073656,0,False,True,Active
15054322,Inhibition of human recombinant MAO-B expressed in baculovirus-infected insect cells using p-tyraimne substrate,CHEMBL3319268,nM,0.227,CHEMBL2039,nM,0.227,9.643974142806877,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc2[nH]ccc2c1,305.16400000000004,4.727000000000002,2,1,44.89,2,3,0.7062434548638451,0,False,True,Active
24772495,Inhibition of MAO-B (unknown origin),CHEMBL1835228,nM,0.308,CHEMBL2039,pM,308.0,9.511449283499555,Cc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1,250.297,4.076840000000003,0,2,30.21,1,3,0.6091219881832732,0,False,True,Active
214371,Inhibitory concentration against Monoamine oxidase B was measured,CHEMBL414637,nM,0.318,CHEMBL2039,nM,0.318,9.497572880015568,O=C1CCc2cc(OCCCC(F)(F)F)ccc21,258.239,3.536800000000002,0,2,26.3,4,1,0.772034327518946,0,False,True,Active
23163306,Inhibition of human MAO-B,CHEMBL4861804,nM,0.35,CHEMBL2039,uM,0.00035,9.455931955649724,C#CCNC1CCc2c(SCCc3cccc(C)c3)cccc21,321.489,4.539920000000004,1,2,12.03,6,2,0.6190758256536932,0,False,True,Active
25577918,Inhibition of recombinant human MAO-B using p-tyramine as substrate incubated for 15 mins by Amplex Red reagent and horseradish peroxidase based fluorometric analysis,CHEMBL3359944,nM,0.37,CHEMBL2039,nM,0.37,9.431798275933005,O=c1cc(CCCl)c2ccc(OCc3cccc(Cl)c3)cc2o1,349.21300000000014,4.806700000000004,0,3,39.44,5,3,0.49033117962929157,0,False,True,Active
25577917,Inhibition of recombinant human MAO-B using p-tyramine as substrate incubated for 15 mins by Amplex Red reagent and horseradish peroxidase based fluorometric analysis,CHEMBL5407170,nM,0.37,CHEMBL2039,nM,0.37,9.431798275933005,O=C1CCc2ccc(OCc3ccccc3F)cc2O1,272.27500000000003,3.256300000000002,0,3,35.53,3,2,0.6352354766954041,0,True,True,Active
15054334,Inhibition of human recombinant MAO-B expressed in baculovirus-infected insect cells using p-tyraimne substrate,CHEMBL3319256,nM,0.386,CHEMBL2039,nM,0.386,9.413412695328246,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21,320.17900000000003,4.132400000000002,1,3,46.92,2,3,0.7714855644306398,0,False,True,Active
19468250,Inhibition of human microsomal MAO-B expressed in recombinant baculovirus infected insect BTI-TN-5B1-4 cells assessed as reduction in H2O2 production using p-tyramine as substrate after 15 mins by fluorescence assay,CHEMBL4206812,nM,0.4,CHEMBL2039,nM,0.4,9.397940008672037,O=C(Nc1cccc(Cl)c1)c1coc2ccccc2c1=O,299.713,3.6987000000000023,1,3,59.31,2,3,0.7846643478371694,0,False,True,Active
18194960,Inhibition of recombinant human MAO-B assessed as reduction in 4-hydroxyquinolone production using kynuramine as substrate after 20 mins by fluorescence assay,CHEMBL4068321,nM,0.5,CHEMBL2039,uM,0.0005,9.301029995663981,O=c1ccc2ccc(OCc3ccc(Br)cc3)cc2o1,331.165,4.134500000000003,0,3,39.44,3,3,0.6774915189854392,0,False,True,Active
17973689,Inhibition of recombinant human MAOB expressed in baculovirus-infected BTI insect cells using p-tyramine as substrate measured for 45 mins in presence of MAOA inhibitor clorgyline by continuous fluorescence-based method,CHEMBL3319244,nM,0.586,CHEMBL2039,nM,0.586,9.232102383981909,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc2[nH]ncc2c1,306.15200000000004,4.122000000000002,2,2,57.78,2,3,0.7478908340044444,0,False,True,Active
13935923,Inhibition of human recombinant MAO-B expressed in baculovirus infected insect cells assessed as hydrogen peroxide production using p-tyramine as substrate incubated for 30 mins prior to substrate addition measured for 45 mins by Amplex Red monoamine oxidase assay,CHEMBL3121793,nM,0.588,CHEMBL2039,nM,0.588,9.230622673923861,COC(=O)c1cc2ccc(OCc3cccc(F)c3)cc2oc1=O,328.2950000000001,3.2977000000000016,0,5,65.74000000000001,4,3,0.5429538058020476,0,True,True,Active
15054318,Inhibition of human recombinant MAO-B expressed in baculovirus-infected insect cells using p-tyraimne substrate,CHEMBL3319272,nM,0.612,CHEMBL2039,nM,0.612,9.213248577854438,Clc1ccc(/N=C/c2ccc3[nH]ncc3c2)cc1Cl,290.153,4.620300000000001,1,2,41.04,2,3,0.6872557607208436,0,False,True,Active
5138934,Inhibition of human recombinant MAOB expressed in insect cells by fluorescence assay,CHEMBL1642678,nM,0.66,CHEMBL2039,uM,0.00066,9.18045606445813,O=C1Nc2ccc(CCCCc3ccccc3)cc2C1=O,279.339,3.3868000000000027,1,2,46.17,5,2,0.6733330815313496,0,True,True,Active
17973694,Inhibition of recombinant human MAOB expressed in baculovirus-infected BTI insect cells using p-tyramine as substrate measured for 45 mins in presence of MAOA inhibitor clorgyline by continuous fluorescence-based method,CHEMBL4061639,nM,0.662,CHEMBL2039,nM,0.662,9.1791420105603,Cn1ncc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc21,303.724,3.618100000000002,1,3,46.92,2,3,0.7857620612866477,0,False,True,Active
