activity_id,assay_description,molecule_chembl_id,standard_units,standard_value,target_chembl_id,units,value,pIC50,smiles,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,QED,Lipinski_violations,Lead_like,Drug_like,bioactivity_class
24868264,Inhibition of COX2 (unknown origin),CHEMBL5196097,nM,0.006,CHEMBL230,nM,0.006,11.221848749616356,[11CH3]Oc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)[nH]c3ccccc23)cc1,377.45343360000004,4.157900000000002,2,3,85.18,4,4,0.559949320453845,0,False,True,Active
2234770,Inhibition of COX2,CHEMBL499068,nM,0.006,CHEMBL230,nM,0.006,11.221848749616356,COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)[nH]c3ccccc23)cc1,378.45300000000003,4.157900000000002,2,3,85.18,4,4,0.5591186933204371,0,False,True,Active
2234775,Inhibition of COX2,CHEMBL525247,nM,0.02,CHEMBL230,nM,0.02,10.698970004336019,Cc1ccc2[nH]c(-c3ccc(S(N)(=O)=O)cc3)c(-c3ccccc3)c2c1,362.4540000000001,4.457720000000002,2,2,75.95,3,4,0.5644990498141371,0,False,True,Active
2234769,Inhibition of COX2,CHEMBL499069,nM,0.02,CHEMBL230,nM,0.02,10.698970004336019,COc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)[nH]c3ccccc23)cc1,377.46500000000003,4.914000000000003,1,3,59.160000000000004,4,4,0.5494138798758519,0,False,True,Active
2234773,Inhibition of COX2,CHEMBL501208,nM,0.02,CHEMBL230,nM,0.02,10.698970004336019,CS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(F)cc2)cc1,365.4290000000001,5.044500000000004,1,2,49.93,3,4,0.5525788991277208,1,False,False,Active
2234789,Inhibition of COX2,CHEMBL502555,nM,0.07,CHEMBL230,nM,0.07,10.154901959985743,Cc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)[nH]c3ccccc23)cc1,362.45400000000006,4.457720000000003,2,2,75.95,3,4,0.5644990498141371,0,False,True,Active
61096,Tested in vitro for inhibition against Prostaglandin G/H synthase 2 in human blood (95% confidence limits),CHEMBL143776,nM,0.08,CHEMBL230,nM,0.08,10.096910013008056,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1,321.37000000000006,5.991600000000004,1,0,15.79,2,3,0.5963420015454858,1,False,False,Active
2234794,Inhibition of COX2,CHEMBL500936,nM,0.09,CHEMBL230,nM,0.09,10.045757490560675,NS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,348.427,4.149300000000002,2,2,75.95,3,4,0.5834119948635504,0,False,True,Active
2234788,Inhibition of COX2,CHEMBL524543,nM,0.09,CHEMBL230,nM,0.09,10.045757490560675,Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)[nH]c3ccccc23)cc1,361.46600000000007,5.213820000000004,1,2,49.93,3,4,0.5441694778015721,1,False,False,Active
36218,Tested in vitro for inhibition against Prostaglandin G/H synthase 2 in human blood (95% confidence limits),CHEMBL140167,nM,0.12,CHEMBL230,nM,0.12,9.920818753952375,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1,335.3970000000001,6.381700000000004,1,0,15.79,2,3,0.5589544368585562,1,False,False,Active
2234779,Inhibition of COX2,CHEMBL499349,nM,0.14,CHEMBL230,nM,0.14,9.853871964321762,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccccc2)cc1,382.87200000000007,4.802700000000003,2,2,75.95,3,4,0.5334376473783639,0,False,True,Active
25553879,Inhibition of COX-2 (unknown origin) using arachidonic acid as substrate preincubated for 15 mins followed by substrate addition by colorimetric assay,CHEMBL6,nM,0.14,CHEMBL230,nM,0.14,9.853871964321762,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.793,3.9273200000000026,1,4,68.53,4,3,0.7678065120522066,0,False,True,Active
2234768,Inhibition of COX2,CHEMBL525021,nM,0.17,CHEMBL230,nM,0.17,9.769551078621726,Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)[nH]c3ccccc23)cc1C,375.4930000000001,5.5222400000000045,1,2,49.93,3,4,0.5122775481659958,1,False,False,Active
2234786,Inhibition of COX2,CHEMBL500943,nM,0.18,CHEMBL230,nM,0.18,9.744727494896694,CC(=O)NS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,390.4640000000001,4.326700000000002,2,3,79.03,4,4,0.5444090911783798,0,False,True,Active
8056065,Inhibition of human recombinant COX2,CHEMBL1958349,nM,0.2,CHEMBL230,uM,0.0002,9.698970004336019,CC(C)Cc1ccc(C(C)C(=O)Oc2ccc(CCO)cc2)cc1,326.436,4.129000000000003,1,3,46.53,7,2,0.6145631125767667,0,False,True,Active
2718037,Inhibition of human COX2 expressed in african green monkey COS cells assessed as inhibition of arachidonic acid-stimulated PGE2 production treated 1 hr before arachidonic acid challenge by enzyme immunoassay,CHEMBL551829,nM,0.25,CHEMBL230,nM,0.25,9.602059991327963,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NCc3ccccc3)n2)cc1,407.4170000000001,4.178000000000003,1,5,71.95,5,3,0.6871193323584277,0,False,True,Active
2718031,Inhibition of human COX2 expressed in african green monkey COS cells assessed as inhibition of arachidonic acid-stimulated PGE2 production treated 1 hr before arachidonic acid challenge by enzyme immunoassay,CHEMBL551148,nM,0.28,CHEMBL230,nM,0.28,9.55284196865778,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NCc3ccc(F)cc3)n2)cc1,425.4070000000001,4.317100000000003,1,5,71.95,5,3,0.6168611728322908,0,False,True,Active
2234774,Inhibition of COX2,CHEMBL525250,nM,0.28,CHEMBL230,nM,0.28,9.55284196865778,Cc1ccc2[nH]c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)c2c1,361.4660000000001,5.213820000000004,1,2,49.93,3,4,0.544169477801572,1,False,False,Active
2097571,Inhibition of human COX2 in human whole blood,CHEMBL271173,nM,0.3,CHEMBL230,nM,0.3,9.522878745280337,CCOc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,389.5020000000001,3.6194000000000015,1,7,81.17999999999999,7,3,0.6646463932686735,0,False,True,Active
634266,Inhibitory concentration against human recombinant Prostaglandin G/H synthase 2 cloned and expressed in baculovirus (Sf9),CHEMBL423296,nM,0.3,CHEMBL230,nM,0.3,9.522878745280337,COc1ccc2c(c1)c(Cc1nc(-c3ccc(Br)cc3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,551.8930000000001,7.777020000000006,0,5,44.120000000000005,5,5,0.2240037302389211,2,False,False,Active
2234778,Inhibition of COX2,CHEMBL502285,nM,0.36,CHEMBL230,nM,0.36,9.443697499232712,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccccc2)cc1,381.8840000000001,5.558800000000004,1,2,49.93,3,4,0.5047601265559339,1,False,False,Active
2234790,Inhibition of COX2,CHEMBL502554,nM,0.37,CHEMBL230,nM,0.37,9.431798275933005,CS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(Br)cc2)cc1,426.3350000000001,5.667900000000004,1,2,49.93,3,4,0.45916168024682275,1,False,False,Active
12415667,Inhibition of COX2 in Homo sapiens (human) whole blood,CHEMBL270293,nM,0.4,CHEMBL230,nM,0.4,9.397940008672037,COc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,375.47500000000014,3.229300000000002,1,7,81.17999999999999,6,3,0.7123366831641935,0,False,True,Active
1453107,Inhibition of human cyclooxygenase-2 expressed in COS cells,CHEMBL186632,nM,0.44,CHEMBL230,nM,0.44,9.356547323513812,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(N)(=O)=O)cc2)cc1,394.45600000000013,3.109400000000001,1,6,99.57999999999998,5,4,0.5605962506438502,0,False,True,Active
2428772,Inhibition of COX2,CHEMBL282093,nM,0.45,CHEMBL230,uM,0.00045,9.346787486224656,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,401.797,3.858900000000002,1,4,77.98,3,3,0.723474560379142,0,False,True,Active
24709481,Inhibition of COX-2 (unknown origin) using arachidonic acid as substrate and measured by fluorometric assay,CHEMBL599,nM,0.49,CHEMBL230,nM,0.49,9.309803919971486,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,351.4090000000001,1.95092,2,6,99.59999999999998,2,2,0.8613672076779288,0,False,True,Active
2718002,Inhibition of human COX2 expressed in african green monkey COS cells assessed as inhibition of arachidonic acid-stimulated PGE2 production treated 1 hr before arachidonic acid challenge by enzyme immunoassay,CHEMBL561891,nM,0.5,CHEMBL230,nM,0.5,9.301029995663981,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NC3CCCCC3)n2)cc1,399.4380000000002,4.310500000000003,1,5,71.95,4,2,0.8294866119837593,0,False,True,Active
520256,In vitro inhibition of prostaglandin G/H synthase 2 (COX-2).,CHEMBL108201,nM,0.5,CHEMBL230,uM,0.0005,9.301029995663981,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1,328.4330000000001,4.193400000000004,0,3,43.370000000000005,4,2,0.8448797497055883,0,False,True,Active
2234764,Inhibition of COX2,CHEMBL118,nM,0.52,CHEMBL230,nM,0.52,9.2839966563652,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,381.3790000000001,3.5139200000000006,1,4,77.98,3,3,0.7541053298167572,0,False,True,Active
2234785,Inhibition of COX2,CHEMBL500674,nM,0.54,CHEMBL230,nM,0.54,9.267606240177031,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccc(Cl)cc2)cc1,417.3170000000001,5.456100000000003,2,2,75.95,3,4,0.4647686895423143,1,False,False,Active
2234793,Inhibition of COX2,CHEMBL499070,nM,0.6,CHEMBL230,nM,0.6,9.221848749616356,CS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,347.4390000000001,4.905400000000004,1,2,49.93,3,4,0.5725819167422189,0,False,True,Active
2234783,Inhibition of COX2,CHEMBL500675,nM,0.8,CHEMBL230,nM,0.8,9.096910013008056,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2cccc(Cl)c2)cc1,416.3290000000002,6.212200000000004,1,2,49.93,3,4,0.43159148320267876,1,False,False,Active
24355183,Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by EIA,CHEMBL5089355,nM,1.0,CHEMBL230,uM,0.001,9.0,O=C1NC(=O)C(=Cc2cn(C[C@H](O)COc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3)c3ccccc23)C(=O)N1,565.5380000000001,3.3096000000000014,4,9,160.1,7,5,0.17274764062587733,1,False,False,Active
644186,Inhibitory activity against prostaglandin G/H synthase 2 (COX-2).,CHEMBL432945,nM,1.0,CHEMBL230,uM,0.001,9.0,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1,355.4590000000002,3.8274000000000026,1,3,69.39,4,2,0.9060853331600691,0,False,True,Active
658415,Inhibitory activity against prostaglandin G/H synthase 2 (COX-2).,CHEMBL327384,nM,1.0,CHEMBL230,uM,0.001,9.0,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CC3(CC3)C2)cc1,358.8900000000002,5.2283000000000035,0,2,34.14,3,2,0.752517309417369,1,False,False,Active
651321,Inhibitory activity against prostaglandin G/H synthase 2 (COX-2).,CHEMBL88717,nM,1.0,CHEMBL230,uM,0.001,9.0,NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CC3(CC3)C2)cc1,359.87800000000016,4.472200000000003,1,2,60.160000000000004,3,2,0.8782178754846961,0,False,True,Active
651086,Inhibitory concentration against human recombinant Prostaglandin G/H synthase 2 cloned and expressed in baculovirus (Sf9),CHEMBL28155,nM,1.0,CHEMBL230,nM,1.0,9.0,COc1ccc2c(c1)c(Cc1nc(-c3csc4ccccc34)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,529.0860000000002,8.229220000000005,0,6,44.120000000000005,5,6,0.226179648764069,2,False,False,Active
553676,The compound was evaluated for prostaglandin E2 inhibition using recombinant Prostaglandin G/H synthase 2,CHEMBL122,nM,1.0,CHEMBL230,uM,0.001,9.0,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,314.3620000000001,2.5577000000000005,0,4,60.44,3,2,0.8169951703125135,0,True,True,Active
636701,Inhibitory activity against prostaglandin G/H synthase 2 (COX-2).,CHEMBL313387,nM,1.0,CHEMBL230,uM,0.001,9.0,NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CC3(CC3)C2)cc1,394.32300000000015,5.125600000000003,1,2,60.160000000000004,3,2,0.7850699597833273,1,False,False,Active
573002,The compound was evaluated for its inhibitory activity against Prostaglandin G/H synthase 2 using osteosarcomes cells,CHEMBL7162,nM,1.0,CHEMBL230,uM,0.001,9.0,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1,314.3630000000002,2.6778000000000004,1,5,98.54,5,1,0.6651670710518857,0,True,True,Active
24868269,Inhibition of COX2 (unknown origin),CHEMBL5200454,nM,1.0,CHEMBL230,nM,1.0,9.0,CS(=O)(=O)c1ccc(-c2cc(O[11CH3])nc(NCc3cccs3)n2)cc1,374.47543360000003,3.229300000000002,1,7,81.18,6,3,0.713364663984683,0,False,True,Active
659708,Inhibitory activity against prostaglandin G/H synthase 2 (COX-2).,CHEMBL330314,nM,1.0,CHEMBL230,uM,0.001,9.0,NS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)cc3)CC3(CC3)C2)cc1,393.4300000000002,4.837600000000003,1,2,60.160000000000004,3,2,0.8113473225817103,0,False,True,Active
23153745,Inhibition of human recombinant COX-2 assessed as production of PGE2 using arachidonic acid as a substrate preincubated for 60 mins followed by substrate addition and measured after 2 mins by ELISA analysis,CHEMBL4851853,nM,1.1,CHEMBL230,uM,0.0011,8.958607314841775,Cc1ccc(-c2cc(C)n(S(=O)(=O)Oc3ccccc3)n2)cc1,328.39300000000003,3.338840000000001,0,5,61.19,4,3,0.7367839495622203,0,True,True,Active
85227,Inhibition of PGE-2 production by arachidonic acid-stimulated CHO cells expressing human Prostaglandin G/H synthase 2,CHEMBL92154,nM,1.1,CHEMBL230,uM,0.0011,8.958607314841775,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,342.4350000000002,4.714000000000004,0,2,34.14,3,2,0.8090839429594588,0,False,True,Active
2097584,Inhibition of human COX2 in human whole blood,CHEMBL270078,nM,1.2,CHEMBL230,nM,1.2,8.920818753952375,CS(=O)(=O)c1ccc(-c2nc(Cl)cc(NCc3cccs3)n2)cc1,379.89400000000006,3.874100000000002,1,6,71.95,5,3,0.6809980368280488,0,False,True,Active
2097582,Inhibition of human COX2 in human whole blood,CHEMBL272433,nM,1.2,CHEMBL230,nM,1.2,8.920818753952375,CCSc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,405.5700000000001,4.3327000000000035,1,7,71.95,7,3,0.46582318815003054,0,False,True,Active
73210,Inhibition of PGE-2 production by arachidonic acid-stimulated CHO cells expressing human Prostaglandin G/H synthase 2,CHEMBL91118,nM,1.2,CHEMBL230,uM,0.0012,8.920818753952375,C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,296.39099999999996,3.9608000000000025,0,2,34.14,3,2,0.8588181078112817,0,False,True,Active
775914,In vitro inhibitory concentration of compound required to inhibit Prostaglandin G/H synthase 2 enzyme was determined,CHEMBL93372,nM,1.26,CHEMBL230,uM,0.00126,8.899629454882437,CC(=O)Oc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)COC2=O)cc1,372.39800000000014,2.4830000000000005,0,6,86.74000000000001,4,2,0.6053174485129973,0,False,True,Active
2718011,Inhibition of human COX2 expressed in african green monkey COS cells assessed as inhibition of arachidonic acid-stimulated PGE2 production treated 1 hr before arachidonic acid challenge by enzyme immunoassay,CHEMBL549393,nM,1.3,CHEMBL230,nM,1.3,8.886056647693163,CCCCNc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,373.40000000000003,3.7779000000000025,1,5,71.95,6,2,0.7805017945803736,0,False,True,Active
25650361,Inhibition of human recombinant COX-2 transfected in CHO cells assessed as inhibition of arachidonic acid-stimulated PGE2 production preincubated for 15 mins followed by arachidonic acid addition and measured after 15 mins by chromogenic assay,CHEMBL1034,nM,1.3,CHEMBL230,nM,1.3,8.886056647693163,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],318.135,0.03339999999999904,1,3,52.16,4,2,0.8097576266403491,0,True,True,Active
15048810,Inhibition of human recombinant COX-2 assessed as decrease in prostaglandin production using arachidonic acid as substrate incubated with enzyme for 10 mins prior to substrate challenge by enzyme immunoassay,CHEMBL3314084,nM,1.3,CHEMBL230,uM,0.0013,8.886056647693163,O=C1/C(=C/c2coc3ccccc3c2=O)c2ccccc2N1c1c(Cl)cccc1Cl,434.27800000000013,6.318700000000002,0,3,50.52,2,4,0.3471997746806244,1,False,False,Active
2234776,Inhibition of COX2,CHEMBL527107,nM,1.41,CHEMBL230,nM,1.41,8.85078088734462,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(Br)cc3c2-c2ccccc2)cc1,426.3350000000001,5.667900000000004,1,2,49.93,3,4,0.45916168024682275,1,False,False,Active
2234787,Inhibition of COX2,CHEMBL502556,nM,1.46,CHEMBL230,nM,1.46,8.835647144215564,Cc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)[nH]c3ccccc23)cc1C,376.4810000000001,4.766140000000003,2,2,75.95,3,4,0.5404485311655323,0,False,True,Active
637984,Inhibitory activity against prostaglandin G/H synthase 2 (COX-2).,CHEMBL92102,nM,1.5,CHEMBL230,uM,0.0015,8.823908740944319,Cc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1,338.4720000000002,4.883320000000005,0,2,34.14,3,2,0.7988304107861385,0,False,True,Active
664794,Inhibitory activity against prostaglandin G/H synthase 2 (COX-2).,CHEMBL312822,nM,1.5,CHEMBL230,uM,0.0015,8.823908740944319,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CC3(CC3)C2)cc1,377.86800000000017,4.611300000000003,1,2,60.160000000000004,3,2,0.8484360332810644,0,False,True,Active
780368,In vitro inhibitory concentration of compound required to inhibit Prostaglandin G/H synthase 2 enzyme was determined,CHEMBL93024,nM,1.68,CHEMBL230,uM,0.00168,8.774690718274137,CC(=O)Oc1cccc(C2=C(c3ccc(S(C)(=O)=O)cc3)COC2=O)c1,372.39800000000014,2.4830000000000005,0,6,86.74000000000001,4,2,0.6053174485129973,0,False,True,Active
681241,Inhibitory concentration against human prostaglandin G/H synthase 2 at 25 degrees.,CHEMBL29766,nM,1.7,CHEMBL230,uM,0.0017,8.769551078621726,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c(F)c2-c2ccccc2)cc1,385.34200000000004,3.3446000000000016,1,4,77.98,3,3,0.7026830395385886,0,False,True,Active
24868262,Inhibition of COX2 (unknown origin),CHEMBL5208551,nM,1.7,CHEMBL230,nM,1.7,8.769551078621726,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c([18F])c2-c2ccccc2)cc1,384.344938,3.3446000000000016,1,4,77.98,3,3,0.7037886386792055,0,False,True,Active
1760988,Inhibition of COX2,CHEMBL214101,nM,1.8,CHEMBL230,nM,1.8,8.744727494896694,O=C1OCC(c2ccc(-c3nn[nH]n3)cc2)=C1c1ccccc1,304.309,2.3343000000000007,1,5,80.76,3,3,0.7511155006498946,0,True,True,Active
1760993,Inhibition of COX2,CHEMBL213338,nM,1.9,CHEMBL230,nM,1.9,8.721246399047171,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(-c3nn[nH]n3)cc2)cc1,370.338,4.0466200000000025,1,5,72.28,3,4,0.5906127508984585,0,False,True,Active
2718005,Inhibition of human COX2 expressed in african green monkey COS cells assessed as inhibition of arachidonic acid-stimulated PGE2 production treated 1 hr before arachidonic acid challenge by enzyme immunoassay,CHEMBL539663,nM,2.0,CHEMBL230,nM,2.0,8.698970004336019,CCC(C)Nc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,373.40000000000003,3.7763000000000027,1,5,71.95,5,2,0.8636439896425756,0,False,True,Active
2234780,Inhibition of COX2,CHEMBL499348,nM,2.0,CHEMBL230,nM,2.0,8.698970004336019,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(F)cc3c2-c2ccccc2)cc1,366.41700000000003,4.288400000000002,2,2,75.95,3,4,0.5674611080108657,0,False,True,Active
655989,Inhibitory activity against prostaglandin G/H synthase 2 (COX-2).,CHEMBL329999,nM,2.0,CHEMBL230,uM,0.002,8.698970004336019,CS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)cc3)CC3(CC3)C2)cc1,392.4420000000002,5.593700000000005,0,2,34.14,3,2,0.6819736353778254,1,False,False,Active
1146008,In vitro inhibition of the production of PGE-2 in arachidonic acid stimulated chinese hamster ovary (CHO) cells transfected with human cyclooxygenase-2,CHEMBL42485,nM,2.0,CHEMBL230,uM,0.002,8.698970004336019,CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1,411.31700000000006,5.3872000000000035,0,3,34.14,3,3,0.5794982960338307,1,False,False,Active
17713268,"In Vitro Inhibition Assay: The murine monocyte/macrophage cell line J774 is grown in Dulbecco's modified Eagle's medium (DMEM), enriched with glutamine (2 mM), HEPES (25 mM), penicillin (100 ug/mL), streptomycin (100 ug/mL), 10% of fetal bovine serum (FBS) and 1.2% of sodium pyruvate. The cells are distributed in 24-well plates at a density of 2.5x105 cells/mL or in culture dishes with a diameter of 10 cm (1x107 cells/10 mL/dish) and kept for 2 hours at 37° C. in a CO2 (5%)/O2 (95%) atmosphere. Just before the experiments, the culture medium is replaced with fresh medium without FBS to avoid interference during the radio-immunological phase and the cells are stimulated as described below.Evaluation of COX-1 Activity.The cells are pretreated with the test compounds for 15 minutes and then incubated for 30 minutes with arachidonic acid (15x10-6 m). At the end of incubation the supernatants are collected for evaluating, by means of radio-immunological assays, the amount of PGE2 produced.",CHEMBL1939677,nM,2.0,CHEMBL230,nM,2.0,8.698970004336019,COc1ccc(-n2c(-c3ccc(S(C)(=O)=O)cc3)cc(CC(=O)OCCCO[N+](=O)[O-])c2C)cc1,502.5450000000004,3.5489200000000025,0,9,126.97000000000003,11,3,0.16858752503758273,1,False,False,Active
684450,In vitro inhibitory activity against human recombinant prostaglandin G/H synthase 2,CHEMBL52020,nM,2.0,CHEMBL230,uM,0.002,8.698970004336019,Cc1cc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)ccc1F,377.3870000000001,4.393720000000002,1,2,60.160000000000004,3,3,0.7357252360533552,0,False,True,Active
2563835,Inhibition of COX2,CHEMBL111562,nM,2.0,CHEMBL230,uM,0.002,8.698970004336019,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1,329.4210000000001,3.4373000000000022,1,3,69.39,4,2,0.933946968275401,0,True,True,Active
707064,In vitro inhibitory activity against human recombinant prostaglandin G/H synthase 2,CHEMBL52820,nM,2.0,CHEMBL230,uM,0.002,8.698970004336019,NS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)c(Cl)c2)cc1,397.80499999999995,4.738700000000002,1,2,60.160000000000004,3,3,0.6935966033601612,0,False,True,Active
