activity_id,assay_description,molecule_chembl_id,standard_units,standard_value,target_chembl_id,units,value,pIC50,smiles,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,QED,Lipinski_violations,Lead_like,Drug_like,bioactivity_class
16448830,Inhibition of NAMPT in human SH-SY5Y cells assessed as NAD depletion incubated for 16 hrs,CHEMBL566757,nM,0.0301,CHEMBL1744525,pM,30.1,10.521433504406156,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,391.5150000000001,3.9337000000000035,1,3,62.300000000000004,8,2,0.5477205007145778,0,False,True,Active
16448829,Inhibition of NAMPT in human SH-SY5Y cells assessed as NAD depletion incubated for 16 hrs,CHEMBL3753643,nM,0.0509,CHEMBL1744525,pM,50.9,10.293282217663242,O=C(/C=C/c1cccnc1)NCCCCCc1cn(-c2ccccc2-c2ccccc2)nn1,437.5470000000001,4.871700000000004,1,5,72.7,10,4,0.2837152626700393,0,False,True,Active
25599112,Inhibition of recombinant human NAMPT preincubated for 5 mins followed by NAM addition measured for 15 mins by fluorescence based assay,CHEMBL5429026,nM,0.15,CHEMBL1744525,nM,0.15,9.823908740944319,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2cccc(N(CCCl)CCCl)c2)CC1,531.528,5.217700000000006,1,4,65.54,13,2,0.21883975315567017,2,False,False,Active
19403758,Inhibition of NAMPT in human MCF7 cells assessed as decrease in NAD production after 24 hrs by NAD/NADH Glo assay,CHEMBL4544378,nM,0.155,CHEMBL1744525,nM,0.155,9.809668301829708,CC(C)N(CCc1c[nH]c2ccccc12)Cc1ccc(NCCCCCNC(=O)/C=C/c2cccnc2)cc1,523.7250000000004,6.427800000000006,3,4,73.05000000000001,15,4,0.12404796564197462,2,False,False,Active
25599111,Inhibition of recombinant human NAMPT preincubated for 5 mins followed by NAM addition measured for 15 mins by fluorescence based assay,CHEMBL5437893,nM,0.16,CHEMBL1744525,nM,0.16,9.795880017344075,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2N(CCCl)CCCl)CC1,531.528,5.217700000000005,1,4,65.54,13,2,0.21883975315567017,2,False,False,Active
14642867,Inhibition of recombinant human C-terminally His-tagged NAMPT by TR-FRET assay in presence of PRPP,CHEMBL3260316,nM,0.174,CHEMBL1744525,nM,0.174,9.7594507517174,CC(C)CCN(C(=O)COc1ccccc1)c1ncc(C(=O)NCCCn2ccnc2)s1,455.58400000000023,3.6178000000000026,1,7,89.35000000000001,12,3,0.4214995651420154,0,False,True,Active
13840335,Inhibition of NAMPT in human HepG2 cells using [14C]-nicotinamide/PRPP as substrate assessed as formation of [14C]-nicotinamide mononucleotide after 1 hr by liquid scintillation counting analysis,CHEMBL3094250,nM,0.2,CHEMBL1744525,nM,0.2,9.698970004336019,N#C/N=C(\NCCCCCCC(=O)N(OCCN1CCOCC1)C1CCCCC1)Nc1ccncc1,499.6600000000004,3.2957800000000015,2,7,115.11,13,1,0.13967626760626856,0,False,True,Active
13431440,Inhibition of NAMPT (unknown origin),CHEMBL2417796,nM,0.23,CHEMBL1744525,nM,0.23,9.638272163982407,C#CCN(Cc1cc2c(=O)n(C)c(CN3CCN(C)CC3)nc2cc1Br)c1ccc(C(=O)NCc2cccnc2)cc1,628.575,3.408200000000001,1,8,86.60000000000001,9,4,0.28468285726619247,1,False,False,Active
6274628,Inhibition of nicotinamide phosphoribosyltransferase-catalyzed conversion of nicotinamide to nicotinamide mononucleotide,CHEMBL1801863,nM,0.3,CHEMBL1744525,uM,0.0003,9.522878745280337,C#CCN(Cc1cc2c(=O)n(C)c(CN3CCN(CCCN)CC3)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,627.1930000000002,3.0181000000000022,2,9,112.62000000000002,12,4,0.23095001640401472,1,False,False,Active
13840332,Inhibition of NAMPT in human HepG2 cells using [14C]-nicotinamide/PRPP as substrate assessed as formation of [14C]-nicotinamide mononucleotide after 1 hr by liquid scintillation counting analysis,CHEMBL3094255,nM,0.3,CHEMBL1744525,nM,0.3,9.522878745280337,N#C/N=C(\NCCCCCCS(=O)(=O)N(OCCN1CCOCC1)C1CCCCC1)Nc1ccncc1,535.7150000000006,2.7088800000000015,2,8,132.18,14,1,0.12128114773771664,1,False,False,Active
6274604,Inhibition of nicotinamide phosphoribosyltransferase-catalyzed conversion of nicotinamide to nicotinamide mononucleotide,CHEMBL123756,nM,0.31,CHEMBL1744525,nM,0.31,9.508638306165727,C#CCN(Cc1cc2c(=O)n(C)c(CN3CCN(C)CC3)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,584.1240000000003,3.299100000000001,1,8,86.60000000000001,9,4,0.3026374965259202,1,False,False,Active
16792054,Inhibition of NAMPT in human A2780 cells assessed as decrease in cell viability after 72 hrs by SRB assay,CHEMBL3968268,nM,0.4,CHEMBL1744525,uM,0.0004,9.397940008672037,CC1(CC(=O)N2CCC3(CC2)CC3CNC(=O)N2Cc3ccncc3C2)CCOCC1,426.5610000000003,2.9423000000000012,1,4,74.77000000000001,4,1,0.8033419718481704,0,False,True,Active
14642868,Inhibition of recombinant human C-terminally His-tagged NAMPT by TR-FRET assay in presence of PRPP,CHEMBL3260317,nM,0.412,CHEMBL1744525,nM,0.412,9.385102783966865,COCC(=O)N(CCC(C)C)c1ncc(C(=O)NCCCn2ccnc2)s1,393.51300000000015,2.1852,1,7,89.35000000000001,11,2,0.5912364210683958,0,False,True,Active
13431439,Inhibition of NAMPT (unknown origin),CHEMBL1801864,nM,0.45,CHEMBL1744525,nM,0.45,9.346787486224656,CC(C)=CCN(Cc1cc2c(=O)n(C)nnc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,503.00600000000026,4.279700000000003,1,7,93.01,8,4,0.3614138335154214,1,False,False,Active
